编号,英文名,效力球队(全称),效力球队(缩写),中文译名
201291,Carldell Johnson,,,
1643052,Chaney Johnson,,,
77133,Charlie Johnson,Golden State Warriors|Washington Wizards,GSW|WAS,
202419,Chris Johnson,Boston Celtics|Portland Trail Blazers|New Orleans Pelicans|Minnesota Timberwolves,BOS|POR|NOP|MIN,
203187,Chris Johnson,Memphis Grizzlies|Boston Celtics|Philadelphia 76ers|Milwaukee Bucks|Utah Jazz,MEM|BOS|PHI|MIL|UTA,
77135,Clay Johnson,Los Angeles Lakers|Oklahoma City Thunder,LAL|OKC,
77136,Clemon Johnson,Portland Trail Blazers|Indiana Pacers|Philadelphia 76ers|Oklahoma City Thunder,POR|IND|PHI|OKC,
1626177,Dakari Johnson,,,
683,Darryl Johnson,,,
77138,Dave Johnson,Portland Trail Blazers|Chicago Bulls,POR|CHI,
77139,David Johnson,Detroit Pistons,DET,
1630525,David Johnson,,,
1746,DeMarco Johnson,,,
77141,Dennis Johnson,Oklahoma City Thunder|Phoenix Suns|Boston Celtics,OKC|PHX|BOS,
2035,DerMarr Johnson,Atlanta Hawks|New York Knicks|Denver Nuggets|San Antonio Spurs,ATL|NYK|DEN|SAS,
698,Eddie Johnson,Sacramento Kings|Phoenix Suns|Oklahoma City Thunder|Charlotte Hornets|Indiana Pacers|Houston Rockets,SAC|PHX|OKC|CHA|IND|HOU,
77144,Eddie Johnson,Atlanta Hawks|Cleveland Cavaliers|Oklahoma City Thunder,ATL|CLE|OKC,
77145,Eric Johnson,,,
911,Ervin Johnson,Oklahoma City Thunder|Denver Nuggets|Milwaukee Bucks|Minnesota Timberwolves,OKC|DEN|MIL|MIN,
77146,Frank Johnson,Washington Wizards|Houston Rockets|Phoenix Suns,WAS|HOU|PHX,
77147,George Johnson,Washington Wizards|Houston Rockets,WAS|HOU,
77148,George Johnson,Milwaukee Bucks|Denver Nuggets|Indiana Pacers|Philadelphia 76ers|Washington Wizards,MIL|DEN|IND|PHI|WAS,
77149,George Johnson,Golden State Warriors|LA Clippers|Brooklyn Nets|San Antonio Spurs|Atlanta Hawks|Oklahoma City Thunder,GSW|LAC|BKN|SAS|ATL|OKC,
77150,Gus Johnson,Washington Wizards|Phoenix Suns,WAS|PHX,
77151,Harold Johnson,,,
201274,Ivan Johnson,Atlanta Hawks,ATL,
202707,JaJuan Johnson,,,
1630552,Jalen Johnson,Atlanta Hawks,ATL,
201949,James Johnson,Chicago Bulls|Toronto Raptors|Sacramento Kings|Memphis Grizzlies|Miami Heat|Minnesota Timberwolves|Dallas Mavericks|New Orleans Pelicans|Brooklyn Nets|Indiana Pacers,CHI|TOR|SAC|MEM|MIA|MIN|DAL|NOP|BKN|IND,
2207,Joe Johnson,Boston Celtics|Phoenix Suns|Atlanta Hawks|Brooklyn Nets|Miami Heat|Utah Jazz|Houston Rockets,BOS|PHX|ATL|BKN|MIA|UTA|HOU,
77152,John Johnson,Cleveland Cavaliers|Portland Trail Blazers|Houston Rockets|Oklahoma City Thunder,CLE|POR|HOU|OKC,
77153,Kannard Johnson,,,
1629640,Keldon Johnson,San Antonio Spurs,SAS,
2256,Ken Johnson,,,
77154,Ken Johnson,,,
1630553,Keon Johnson,LA Clippers|Portland Trail Blazers|Brooklyn Nets,LAC|POR|BKN,
1642352,Keshad Johnson,Miami Heat,MIA,
134,Kevin Johnson,Cleveland Cavaliers|Phoenix Suns,CLE|PHX,
1641749,Keyontae Johnson,,,
913,Larry Johnson,Charlotte Hornets|New York Knicks,CHA|NYK,
77156,Larry Johnson,,,
77158,Lee Johnson,Houston Rockets|Detroit Pistons,HOU|DET,
2669,Linton Johnson,Chicago Bulls|San Antonio Spurs|Brooklyn Nets|New Orleans Pelicans|Phoenix Suns|Toronto Raptors|Charlotte Hornets,CHI|SAS|BKN|NOP|PHX|TOR|CHA,
77159,Lynbert Johnson,,,
77142,Magic Johnson,Los Angeles Lakers,LAL,
77160,Marques Johnson,Milwaukee Bucks|LA Clippers|Golden State Warriors,MIL|LAC|GSW,
77168,Mickey Johnson,Chicago Bulls|Indiana Pacers|Milwaukee Bucks|Brooklyn Nets|Golden State Warriors,CHI|IND|MIL|BKN|GSW,
77161,Neil Johnson,New York Knicks|Phoenix Suns,NYK|PHX,
203910,Nick Johnson,,,
77162,Ollie Johnson,Portland Trail Blazers|Sacramento Kings|Utah Jazz|Atlanta Hawks|Chicago Bulls|Philadelphia 76ers,POR|SAC|UTA|ATL|CHI|PHI,
204179,Omari Johnson,,,
203111,Orlando Johnson,Indiana Pacers|Sacramento Kings|Phoenix Suns|New Orleans Pelicans,IND|SAC|PHX|NOP,
77163,Reggie Johnson,San Antonio Spurs|Cleveland Cavaliers|Sacramento Kings|Philadelphia 76ers|Brooklyn Nets,SAS|CLE|SAC|PHI|BKN,
77164,Rich Johnson,Boston Celtics,BOS,
77165,Ron Johnson,,,
1626169,Stanley Johnson,Detroit Pistons|New Orleans Pelicans|Toronto Raptors|Los Angeles Lakers|San Antonio Spurs,DET|NOP|TOR|LAL|SAS,
77166,Steffond Johnson,,,
77134,Steve Johnson,Sacramento Kings|Chicago Bulls|San Antonio Spurs|Portland Trail Blazers|Minnesota Timberwolves|Oklahoma City Thunder|Golden State Warriors,SAC|CHI|SAS|POR|MIN|OKC|GSW,
1642848,Tre Johnson,,,
201234,Trey Johnson,Cleveland Cavaliers|Toronto Raptors|Los Angeles Lakers|New Orleans Pelicans,CLE|TOR|LAL|NOP,
204020,Tyler Johnson,Miami Heat|Phoenix Suns|Brooklyn Nets|Philadelphia 76ers|San Antonio Spurs,MIA|PHX|BKN|PHI|SAS,
77167,Vinnie Johnson,Oklahoma City Thunder|Detroit Pistons|San Antonio Spurs,OKC|DET|SAS,
202325,Wesley Johnson,Minnesota Timberwolves|Phoenix Suns|Los Angeles Lakers|LA Clippers|New Orleans Pelicans|Washington Wizards,MIN|PHX|LAL|LAC|NOP|WAS,
203130,Darius Johnson-Odom,Los Angeles Lakers|Philadelphia 76ers,LAL|PHI,
77170,Nate Johnston,Utah Jazz|Portland Trail Blazers,UTA|POR,
77169,Neil Johnston,Golden State Warriors,GSW,
77171,Jim Johnstone,San Antonio Spurs|Detroit Pistons,SAS|DET,
203999,Nikola Joki?,Denver Nuggets,DEN,
77172,Howie Jolliff,Los Angeles Lakers,LAL,
2264,Alvin Jones,,,
77173,Anthony Jones,Washington Wizards|San Antonio Spurs|Chicago Bulls|Dallas Mavericks,WAS|SAS|CHI|DAL,
77174,Askia Jones,,,
77180,Bill Jones,,,
77193,Bobby Jones,Denver Nuggets|Philadelphia 76ers,DEN|PHI,
200784,Bobby Jones,Philadelphia 76ers|Memphis Grizzlies|Houston Rockets|Miami Heat|San Antonio Spurs|Denver Nuggets,PHI|MEM|HOU|MIA|SAS|DEN,
77175,Caldwell Jones,Philadelphia 76ers|Houston Rockets|Chicago Bulls|Portland Trail Blazers|San Antonio Spurs,PHI|HOU|CHI|POR|SAS,
1630637,Carlik Jones,Dallas Mavericks|Denver Nuggets|Chicago Bulls,DAL|DEN|CHI,
279,Charles Jones,Philadelphia 76ers|Chicago Bulls|Washington Wizards|Detroit Pistons|Houston Rockets,PHI|CHI|WAS|DET|HOU,
77178,Charles Jones,Phoenix Suns|Portland Trail Blazers|Washington Wizards,PHX|POR|WAS,
1869,Charles R. Jones,Chicago Bulls|LA Clippers,CHI|LAC,
1641732,Colby Jones,Sacramento Kings|Washington Wizards|Detroit Pistons,SAC|WAS|DET,
1642938,Curtis Jones,,,
2563,Dahntay Jones,Memphis Grizzlies|Sacramento Kings|Denver Nuggets|Indiana Pacers|Dallas Mavericks|Atlanta Hawks|LA Clippers|Cleveland Cavaliers,MEM|SAC|DEN|IND|DAL|ATL|LAC|CLE,
1627745,Damian Jones,Golden State Warriors|Atlanta Hawks|Phoenix Suns|Los Angeles Lakers|Sacramento Kings|Utah Jazz|Cleveland Cavaliers,GSW|ATL|PHX|LAL|SAC|UTA|CLE,
1800,Damon Jones,Brooklyn Nets|Boston Celtics|Golden State Warriors|Dallas Mavericks|Memphis Grizzlies|Detroit Pistons|Sacramento Kings|Milwaukee Bucks|Miami Heat|Cleveland Cavaliers,BKN|BOS|GSW|DAL|MEM|DET|SAC|MIL|MIA|CLE,
203199,DeQuan Jones,,,
1641794,Dillon Jones,Oklahoma City Thunder|New York Knicks,OKC|NYK,
202346,Dominique Jones,Dallas Mavericks,DAL,
963,Dontae' Jones,,,
101204,Dwayne Jones,Boston Celtics|Cleveland Cavaliers|Charlotte Hornets|Phoenix Suns,BOS|CLE|CHA|PHX,
77182,Dwight Jones,Atlanta Hawks|Houston Rockets|Chicago Bulls|Los Angeles Lakers,ATL|HOU|CHI|LAL,
77183,Earl Jones,Los Angeles Lakers|Milwaukee Bucks,LAL|MIL,
224,Eddie Jones,Los Angeles Lakers|Charlotte Hornets|Miami Heat|Memphis Grizzlies|Dallas Mavericks,LAL|CHA|MIA|MEM|DAL,
77184,Edgar Jones,Brooklyn Nets|Detroit Pistons|San Antonio Spurs|Cleveland Cavaliers,BKN|DET|SAS|CLE,
2410,Fred Jones,Indiana Pacers|Toronto Raptors|Portland Trail Blazers|New York Knicks|LA Clippers,IND|TOR|POR|NYK|LAC,
1630529,Herbert Jones,New Orleans Pelicans,NOP,
1642403,Isaac Jones,Sacramento Kings|Detroit Pistons,SAC|DET,
77185,Jake Jones,Philadelphia 76ers|Sacramento Kings,PHI|SAC,
1627883,Jalen Jones,New Orleans Pelicans|Dallas Mavericks|Cleveland Cavaliers,NOP|DAL|CLE,
2592,James Jones,Indiana Pacers|Phoenix Suns|Portland Trail Blazers|Miami Heat|Cleveland Cavaliers,IND|PHX|POR|MIA|CLE,
1629203,Jemerrio Jones,Los Angeles Lakers,LAL,
77186,Jimmy Jones,Washington Wizards,WAS,
77187,Johnny Jones,,,
1908,Jumaine Jones,Philadelphia 76ers|Cleveland Cavaliers|Boston Celtics|Los Angeles Lakers|Charlotte Hornets|Phoenix Suns,PHI|CLE|BOS|LAL|CHA|PHX,
77188,K.C. Jones,Boston Celtics,BOS,
1630539,Kai Jones,Charlotte Hornets|LA Clippers|Dallas Mavericks,CHA|LAC|DAL,
1642880,Kam Jones,,,
203158,Kevin Jones,,,
77200,Larry Jones,Philadelphia 76ers,PHI,
77189,Major Jones,Houston Rockets|Detroit Pistons,HOU|DET,
2891,Mark Jones,,,
90000,Mark Jones,,,
1630222,Mason Jones,Houston Rockets|Philadelphia 76ers|Los Angeles Lakers|Sacramento Kings,HOU|PHI|LAL|SAC,
77195,Nick Jones,Houston Rockets|Golden State Warriors,HOU|GSW,
77191,Ozell Jones,San Antonio Spurs|LA Clippers,SAS|LAC,
461,Popeye Jones,Dallas Mavericks|Toronto Raptors|Boston Celtics|Denver Nuggets|Washington Wizards|Golden State Warriors,DAL|TOR|BOS|DEN|WAS|GSW,
77192,Rich Jones,,,
77194,Robin Jones,Portland Trail Blazers|Houston Rockets,POR|HOU,
77196,Sam Jones,Boston Celtics,BOS,
2652,Shelton Jones,San Antonio Spurs|Golden State Warriors|Philadelphia 76ers,SAS|GSW|PHI,
200780,Solomon Jones,Atlanta Hawks|Indiana Pacers|LA Clippers|New Orleans Pelicans|New York Knicks|Orlando Magic,ATL|IND|LAC|NOP|NYK|ORL,
1642461,Spencer Jones,Denver Nuggets,DEN,
77197,Steve Jones,,,
203093,Terrence Jones,Houston Rockets|New Orleans Pelicans|Milwaukee Bucks,HOU|NOP|MIL,
1630200,Tre Jones,San Antonio Spurs|Chicago Bulls,SAS|CHI,
1626145,Tyus Jones,Minnesota Timberwolves|Memphis Grizzlies|Washington Wizards|Phoenix Suns|Orlando Magic|Dallas Mavericks|Denver Nuggets,MIN|MEM|WAS|PHX|ORL|DAL|DEN,
77198,Wali Jones,Washington Wizards|Philadelphia 76ers|Milwaukee Bucks|Detroit Pistons,WAS|PHI|MIL|DET,
77199,Wallace Jones,,,
77201,Wil Jones,Indiana Pacers|LA Clippers,IND|LAC,
77202,Willie Jones,Detroit Pistons,DET,
77203,Willie Jones,LA Clippers,LAC,
1642357,David Jones Garcia,,,
203103,Perry Jones III,Oklahoma City Thunder,OKC,
1627884,Derrick Jones Jr.,Phoenix Suns|Miami Heat|Portland Trail Blazers|Chicago Bulls|Dallas Mavericks|LA Clippers,PHX|MIA|POR|CHI|DAL|LAC,
1817,Adonis Jordan,Denver Nuggets|Milwaukee Bucks,DEN|MIL,
201599,DeAndre Jordan,LA Clippers|Dallas Mavericks|New York Knicks|Brooklyn Nets|Los Angeles Lakers|Philadelphia 76ers|Denver Nuggets|New Orleans Pelicans,LAC|DAL|NYK|BKN|LAL|PHI|DEN|NOP,
77205,Eddie Jordan,Cleveland Cavaliers|Brooklyn Nets|Los Angeles Lakers|Portland Trail Blazers,CLE|BKN|LAL|POR,
202366,Jerome Jordan,New York Knicks|Brooklyn Nets,NYK|BKN,
893,Michael Jordan,Chicago Bulls|Washington Wizards,CHI|WAS,
674,Reggie Jordan,Los Angeles Lakers|Atlanta Hawks|Portland Trail Blazers|Minnesota Timberwolves|Washington Wizards,LAL|ATL|POR|MIN|WAS,
77208,Thomas Jordan,,,
77209,Walter Jordan,,,
77210,Phil Jordon,New York Knicks|Detroit Pistons|Sacramento Kings|Atlanta Hawks,NYK|DET|SAC|ATL,
77211,Johnny Jorgensen,Los Angeles Lakers,LAL,
77212,Noble Jorgensen,Philadelphia 76ers,PHI,
77213,Roger Jorgensen,,,
202709,Cory Joseph,San Antonio Spurs|Toronto Raptors|Indiana Pacers|Sacramento Kings|Detroit Pistons|Golden State Warriors|Orlando Magic,SAS|TOR|IND|SAC|DET|GSW|ORL,
2123,Garth Joseph,Toronto Raptors|Denver Nuggets,TOR|DEN,
203126,Kris Joseph,Boston Celtics|Brooklyn Nets,BOS|BKN,
77214,Yvon Joseph,,,
1631107,Nikola Jovi?,Miami Heat,MIA,
77215,Jeff Judkins,Boston Celtics|Utah Jazz|Detroit Pistons|Portland Trail Blazers,BOS|UTA|DET|POR,
1630548,Johnny Juzang,Utah Jazz|Minnesota Timberwolves,UTA|MIN,
1629662,Mfiondu Kabengele,LA Clippers|Cleveland Cavaliers|Boston Celtics,LAC|CLE|BOS,
77217,Edwin Kachan,Los Angeles Lakers,LAL,
77218,George Kaftan,Boston Celtics|New York Knicks,BOS|NYK,
77219,Ed Kalafat,Los Angeles Lakers,LAL,
1630686,Georgios Kalaitzakis,Milwaukee Bucks|Oklahoma City Thunder,MIL|OKC,
1641750,Ryan Kalkbrenner,,,
2549,Chris Kaman,LA Clippers|New Orleans Pelicans|Dallas Mavericks|Los Angeles Lakers|Portland Trail Blazers,LAC|NOP|DAL|LAL|POR,
1626163,Frank Kaminsky,Charlotte Hornets|Phoenix Suns|Atlanta Hawks|Houston Rockets,CHA|PHX|ATL|HOU,
77221,Ralph Kaplowitz,Golden State Warriors|New York Knicks,GSW|NYK,
2574,Jason Kapono,Cleveland Cavaliers|Charlotte Hornets|Miami Heat|Toronto Raptors|Philadelphia 76ers|Los Angeles Lakers,CLE|CHA|MIA|TOR|PHI|LAL,
77222,Tony Kappen,Boston Celtics,BOS,
203508,Sergey Karasev,Cleveland Cavaliers|Brooklyn Nets,CLE|BKN,
201207,Coby Karl,Los Angeles Lakers|Cleveland Cavaliers|Golden State Warriors,LAL|CLE|GSW,
77223,George Karl,San Antonio Spurs,SAS,
77225,Ed Kasid,,,
2435,Mario Kasun,Orlando Magic,ORL,
77226,Leo Katkaveck,,,
77227,Bob Kauffman,Oklahoma City Thunder|Chicago Bulls|LA Clippers|Atlanta Hawks,OKC|CHI|LAC|ATL,
201619,Sasha Kaun,,,
77228,Wilbert Kautz,,,
1642530,Yuki Kawamura,Memphis Grizzlies|Chicago Bulls,MEM|CHI,
77229,Clarence Kea,Dallas Mavericks,DAL,
77230,Michael Kearns,,,
77231,Tommy Kearns,,,
228,Adam Keefe,Atlanta Hawks|Utah Jazz|Golden State Warriors,ATL|UTA|GSW,
77233,Harold Keeling,,,
1631211,Trevor Keels,New York Knicks|Miami Heat,NYK|MIA,
77234,Ken Keller,Washington Wizards,WAS,
1630283,Kylor Kelley,Dallas Mavericks|New Orleans Pelicans,DAL|NOP,
77235,Rich Kelley,Utah Jazz|Phoenix Suns|Brooklyn Nets|Denver Nuggets|Sacramento Kings,UTA|PHX|BKN|DEN|SAC,
77236,Clark Kellogg,Indiana Pacers,IND,
77237,Gerard Kelly,Boston Celtics,BOS,
1642939,Miles Kelly,,,
203527,Ryan Kelly,Los Angeles Lakers|Atlanta Hawks,LAL|ATL,
77238,Tom Kelly,,,
77239,Greg Kelser,Detroit Pistons|Oklahoma City Thunder|LA Clippers|Indiana Pacers,DET|OKC|LAC|IND,
77240,Ben Kelso,,,
431,Shawn Kemp,Oklahoma City Thunder|Cleveland Cavaliers|Portland Trail Blazers|Orlando Magic,OKC|CLE|POR|ORL,
1118,Tim Kempton,LA Clippers|Charlotte Hornets|Denver Nuggets|Phoenix Suns|Cleveland Cavaliers|Atlanta Hawks|San Antonio Spurs|Orlando Magic|Toronto Raptors,LAC|CHA|DEN|PHX|CLE|ATL|SAS|ORL|TOR,
77242,Frank Kendrick,,,
1628379,Luke Kennard,Detroit Pistons|LA Clippers|Memphis Grizzlies|Atlanta Hawks|Los Angeles Lakers,DET|LAC|MEM|ATL|LAL,
202810,D.J. Kennedy,,,
77243,Eugene Kennedy,,,
77244,Joe Kennedy,Oklahoma City Thunder,OKC,
77245,William Kennedy,,,
77246,Larry Kenon,San Antonio Spurs|Chicago Bulls|Golden State Warriors|Cleveland Cavaliers,SAS|CHI|GSW|CLE,
1643257,Jayson Kent,,,
77247,Bill Kenville,Philadelphia 76ers|Detroit Pistons,PHI|DET,
1801,Jonathan Kerner,,,
77248,Johnny Kerr,Philadelphia 76ers|Washington Wizards,PHI|WAS,
70,Steve Kerr,Phoenix Suns|Cleveland Cavaliers|Orlando Magic|Chicago Bulls|San Antonio Spurs|Portland Trail Blazers,PHX|CLE|ORL|CHI|SAS|POR,
77249,Jack Kerris,Detroit Pistons|Atlanta Hawks,DET|ATL,
760,Jerome Kersey,Portland Trail Blazers|Golden State Warriors|Los Angeles Lakers|Oklahoma City Thunder|San Antonio Spurs|Milwaukee Bucks,POR|GSW|LAL|OKC|SAS|MIL,
77251,Alec Kessler,Miami Heat,MIA,
1631117,Walker Kessler,Utah Jazz,UTA,
1930,Lari Ketner,Chicago Bulls|Cleveland Cavaliers|Indiana Pacers,CHI|CLE|IND,
1630296,Braxton Key,Philadelphia 76ers|Detroit Pistons|Denver Nuggets|Golden State Warriors,PHI|DET|DEN|GSW,
705,Randolph Keys,Cleveland Cavaliers|Charlotte Hornets|Los Angeles Lakers|Milwaukee Bucks,CLE|CHA|LAL|MIL,
2751,Viktor Khryapa,Portland Trail Blazers|Chicago Bulls,POR|CHI,
467,Jason Kidd,Dallas Mavericks|Phoenix Suns|Brooklyn Nets|New York Knicks,DAL|PHX|BKN|NYK,
1629742,Stanton Kidd,,,
77254,Warren Kidd,,,
203077,Michael Kidd-Gilchrist,Charlotte Hornets|Dallas Mavericks,CHA|DAL,
77255,Irv Kiffin,,,
77256,Jack Kiley,Detroit Pistons,DET,
77257,Ernie Killum,,,
77258,Carl Kilpatrick,,,
203930,Sean Kilpatrick,Minnesota Timberwolves|Denver Nuggets|Brooklyn Nets|Milwaukee Bucks|LA Clippers|Chicago Bulls,MIN|DEN|BKN|MIL|LAC|CHI,
77259,Toby Kimball,Boston Celtics|Houston Rockets|Milwaukee Bucks|Sacramento Kings|Philadelphia 76ers|Utah Jazz,BOS|HOU|MIL|SAC|PHI|UTA,
77260,Bo Kimble,LA Clippers|New York Knicks,LAC|NYK,
77261,Stan Kimbrough,Detroit Pistons|Sacramento Kings,DET|SAC,
77262,Chad Kinch,Cleveland Cavaliers|Dallas Mavericks,CLE|DAL,
77263,Albert King,Brooklyn Nets|Philadelphia 76ers|San Antonio Spurs|Washington Wizards,BKN|PHI|SAS|WAS,
77264,Bernard King,Brooklyn Nets|Utah Jazz|Golden State Warriors|New York Knicks|Washington Wizards,BKN|UTA|GSW|NYK|WAS,
12,Chris King,Oklahoma City Thunder|Memphis Grizzlies|Utah Jazz,OKC|MEM|UTA,
77266,Dan King,,,
701,Frankie King,Los Angeles Lakers|Philadelphia 76ers,LAL|PHI,
77268,George King,Philadelphia 76ers|Sacramento Kings,PHI|SAC,
1628994,George King,Phoenix Suns|Dallas Mavericks,PHX|DAL,
1562,Gerard King,San Antonio Spurs|Washington Wizards,SAS|WAS,
77270,Jim King,Los Angeles Lakers|Golden State Warriors|Sacramento Kings|Chicago Bulls,LAL|GSW|SAC|CHI,
728,Jimmy King,Toronto Raptors|Denver Nuggets,TOR|DEN,
1629663,Louis King,Detroit Pistons|Sacramento Kings|Philadelphia 76ers,DET|SAC|PHI,
77272,Maury King,Boston Celtics|Washington Wizards,BOS|WAS,
77273,Reggie King,Sacramento Kings|Oklahoma City Thunder,SAC|OKC,
1101,Rich King,Oklahoma City Thunder,OKC,
351,Stacey King,Chicago Bulls|Minnesota Timberwolves|Miami Heat|Boston Celtics|Dallas Mavericks,CHI|MIN|MIA|BOS|DAL,
77276,Tom King,,,
77277,Bob Kinney,Detroit Pistons|Boston Celtics,DET|BOS,
200814,Tarence Kinsey,Memphis Grizzlies|Cleveland Cavaliers,MEM|CLE,
1905,Andrei Kirilenko,Utah Jazz|Minnesota Timberwolves|Brooklyn Nets,UTA|MIN|BKN,
203945,Alex Kirk,,,
77278,Walt Kirk,Detroit Pistons|Atlanta Hawks,DET|ATL,
1630557,Corey Kispert,Washington Wizards|Atlanta Hawks,WAS|ATL,
77279,Doug Kistler,,,
77280,Curtis Kitchen,,,
1123,Greg Kite,Boston Celtics|LA Clippers|Charlotte Hornets|Sacramento Kings|Orlando Magic|New York Knicks|Indiana Pacers,BOS|LAC|CHA|SAC|ORL|NYK|IND,
954,Kerry Kittles,Brooklyn Nets|LA Clippers,BKN|LAC,
1628467,Maxi Kleber,Dallas Mavericks|Los Angeles Lakers,DAL|LAL,
170,Joe Kleine,Sacramento Kings|Boston Celtics|Phoenix Suns|Los Angeles Lakers|Brooklyn Nets|Chicago Bulls|Portland Trail Blazers,SAC|BOS|PHX|LAL|BKN|CHI|POR,
101132,Linas Kleiza,Denver Nuggets|Toronto Raptors,DEN|TOR,
77283,Leo Klier,Detroit Pistons,DET,
1641752,Bobi Klintman,Detroit Pistons,DET,
77284,Herm Klotz,,,
77285,Duane Klueh,Detroit Pistons,DET,
1642261,Dalton Knecht,Los Angeles Lakers,LAL,
77290,Billy Knight,Indiana Pacers|LA Clippers|Boston Celtics|Sacramento Kings|San Antonio Spurs,IND|LAC|BOS|SAC|SAS,
77287,Bob Knight,,,
2688,Brandin Knight,,,
202688,Brandon Knight,Detroit Pistons|Milwaukee Bucks|Phoenix Suns|Houston Rockets|Cleveland Cavaliers|Dallas Mavericks,DET|MIL|PHX|HOU|CLE|DAL,
1510,Brevin Knight,Cleveland Cavaliers|Atlanta Hawks|Memphis Grizzlies|Phoenix Suns|Washington Wizards|Milwaukee Bucks|Charlotte Hornets|LA Clippers|Utah Jazz,CLE|ATL|MEM|PHX|WAS|MIL|CHA|LAC|UTA,
1630233,Nathan Knight,Atlanta Hawks|Minnesota Timberwolves,ATL|MIN,
1861,Negele Knight,Phoenix Suns|San Antonio Spurs|Portland Trail Blazers|Detroit Pistons|Toronto Raptors,PHX|SAS|POR|DET|TOR,
77288,Ron Knight,Portland Trail Blazers,POR,
77289,Toby Knight,New York Knicks,NYK,
969,Travis Knight,Los Angeles Lakers|Boston Celtics|New York Knicks,LAL|BOS|NYK,
77291,Lee Knorek,New York Knicks,NYK,
77292,Dick Knostman,,,
77293,Rod Knowles,,,
1628995,Kevin Knox II,New York Knicks|Atlanta Hawks|Detroit Pistons|Portland Trail Blazers|Golden State Warriors,NYK|ATL|DET|POR|GSW,
1642851,Kon Knueppel,,,
77294,Bart Kofoed,Utah Jazz|Golden State Warriors|Oklahoma City Thunder|Boston Celtics,UTA|GSW|OKC|BOS,
77295,Don Kojis,Washington Wizards|Detroit Pistons|Chicago Bulls|Houston Rockets|Oklahoma City Thunder|Sacramento Kings,WAS|DET|CHI|HOU|OKC|SAC,
1642278,Tyler Kolek,New York Knicks,NYK,
1631132,Christian Koloko,Toronto Raptors|Los Angeles Lakers|Memphis Grizzlies|Atlanta Hawks,TOR|LAL|MEM|ATL,
77296,Milo Komenich,,,
77297,Howard Komives,New York Knicks|Detroit Pistons|LA Clippers|Sacramento Kings,NYK|DET|LAC|SAC,
402,Jon Koncak,Atlanta Hawks|Orlando Magic,ATL|ORL,
1629723,John Konchar,Memphis Grizzlies|Utah Jazz,MEM|UTA,
77299,Bud Koper,,,
77300,Joe Kopicki,Washington Wizards|Denver Nuggets,WAS|DEN,
1627788,Furkan Korkmaz,Philadelphia 76ers,PHI,
77301,Frank Kornet,Milwaukee Bucks,MIL,
1628436,Luke Kornet,New York Knicks|Chicago Bulls|Boston Celtics|Cleveland Cavaliers|Milwaukee Bucks|San Antonio Spurs,NYK|CHI|BOS|CLE|MIL|SAS,
101117,Yaroslav Korolev,LA Clippers,LAC,
2594,Kyle Korver,Philadelphia 76ers|Utah Jazz|Chicago Bulls|Atlanta Hawks|Cleveland Cavaliers|Milwaukee Bucks,PHI|UTA|CHI|ATL|CLE|MIL,
77302,Len Kosmalski,Sacramento Kings,SAC,
77303,Andy Kostecka,,,
77304,Harold Kottman,,,
201585,Kosta Koufos,Utah Jazz|Minnesota Timberwolves|Denver Nuggets|Memphis Grizzlies|Sacramento Kings,UTA|MIN|DEN|MEM|SAC,
77305,Tom Kozelko,Washington Wizards,WAS,
77306,Arvid Kramer,,,
77307,Barry Kramer,Golden State Warriors|New York Knicks,GSW|NYK,
77308,Joel Kramer,Phoenix Suns,PHX,
77309,Dan Kraus,,,
77310,Herb Krautblatt,,,
203139,Viacheslav Kravtsov,Detroit Pistons|Phoenix Suns,DET|PHX,
77311,Jim Krebs,Los Angeles Lakers,LAL,
1630249,Vít Krej?í,Oklahoma City Thunder|Atlanta Hawks|Portland Trail Blazers,OKC|ATL|POR,
77312,Wayne Kreklow,,,
77313,Tom Kron,Atlanta Hawks|Oklahoma City Thunder,ATL|OKC,
77314,Tom Kropp,Washington Wizards|Chicago Bulls,WAS|CHI,
2420,Nenad Krstic,Brooklyn Nets|Oklahoma City Thunder|Boston Celtics,BKN|OKC|BOS,
1474,Larry Krystkowiak,San Antonio Spurs|Milwaukee Bucks|Utah Jazz|Orlando Magic|Chicago Bulls|Los Angeles Lakers,SAS|MIL|UTA|ORL|CHI|LAL,
77316,Steve Kuberski,Boston Celtics|Milwaukee Bucks|LA Clippers,BOS|MIL|LAC,
77317,Leo Kubiak,,,
77318,Bruce Kuczenski,Brooklyn Nets|Philadelphia 76ers|Indiana Pacers,BKN|PHI|IND,
77319,Frank Kudelka,Boston Celtics|Golden State Warriors,BOS|GSW,
77320,John Kuester,Sacramento Kings|Denver Nuggets|Indiana Pacers,SAC|DEN|IND,
77322,Ray Kuka,New York Knicks,NYK,
389,Toni Kukoc,Chicago Bulls|Philadelphia 76ers|Atlanta Hawks|Milwaukee Bucks,CHI|PHI|ATL|MIL,
1629083,Arnoldas Kulboka,,,
1630228,Jonathan Kuminga,Golden State Warriors|Atlanta Hawks,GSW|ATL,
77323,Kevin Kunnert,LA Clippers|Houston Rockets|Portland Trail Blazers,LAC|HOU|POR,
77324,Mitch Kupchak,Washington Wizards|Los Angeles Lakers,WAS|LAL,
77325,Charles Kupec,Los Angeles Lakers|Houston Rockets,LAL|HOU,
1629066,Rodions Kurucs,Brooklyn Nets|Houston Rockets|Milwaukee Bucks,BKN|HOU|MIL,
201633,Rob Kurz,,,
2825,Ibrahim Kutluay,,,
