编号,英文名,效力球队(全称),效力球队(缩写),中文译名
1630180,Saddiq Bey,Detroit Pistons|Atlanta Hawks|New Orleans Pelicans,DET|ATL|NOP,
76160,Al Bianchi,Philadelphia 76ers,PHI,
76162,Henry Bibby,New York Knicks|Utah Jazz|Philadelphia 76ers|LA Clippers,NYK|UTA|PHI|LAC,
1710,Mike Bibby,Memphis Grizzlies|Sacramento Kings|Atlanta Hawks|Washington Wizards|Miami Heat|New York Knicks,MEM|SAC|ATL|WAS|MIA|NYK,
2740,Andris Biedrins,Golden State Warriors|Utah Jazz,GSW|UTA,
76165,Bob Bigelow,Sacramento Kings|Boston Celtics|LA Clippers,SAC|BOS|LAC,
1497,Chauncey Billups,Boston Celtics|Toronto Raptors|Denver Nuggets|Minnesota Timberwolves|Detroit Pistons|New York Knicks|LA Clippers,BOS|TOR|DEN|MIN|DET|NYK|LAC,
76166,Dave Bing,Detroit Pistons|Washington Wizards|Boston Celtics,DET|WAS|BOS,
203920,Khem Birch,Orlando Magic|Toronto Raptors,ORL|TOR,
1449,Larry Bird,Boston Celtics,BOS,
76170,Otis Birdsong,Sacramento Kings|Brooklyn Nets|Boston Celtics,SAC|BKN|BOS,
1629048,Goga Bitadze,Indiana Pacers|Orlando Magic,IND|ORL,
202687,Bismack Biyombo,Charlotte Hornets|Toronto Raptors|Orlando Magic|Phoenix Suns|Memphis Grizzlies|Oklahoma City Thunder|San Antonio Spurs,CHA|TOR|ORL|PHX|MEM|OKC|SAS,
202357,Nemanja Bjelica,Minnesota Timberwolves|Sacramento Kings|Miami Heat|Golden State Warriors,MIN|SAC|MIA|GSW,
76172,Uwe Blab,Dallas Mavericks|Golden State Warriors|San Antonio Spurs,DAL|GSW|SAS,
1641710,Anthony Black,Orlando Magic,ORL,
76173,Charlie Black,Detroit Pistons|Atlanta Hawks,DET|ATL,
1641778,Leaky Black,Charlotte Hornets|Washington Wizards,CHA|WAS,
204028,Tarik Black,Houston Rockets|Los Angeles Lakers,HOU|LAL,
76175,Tom Black,Oklahoma City Thunder|Sacramento Kings,OKC|SAC,
76176,Rolando Blackman,Dallas Mavericks|New York Knicks,DAL|NYK,
1806,James Blackwell,Charlotte Hornets|Boston Celtics,CHA|BOS,
201971,DeJuan Blair,San Antonio Spurs|Dallas Mavericks|Washington Wizards,SAS|DAL|WAS,
2581,Steve Blake,Washington Wizards|Portland Trail Blazers|Milwaukee Bucks|Denver Nuggets|LA Clippers|Los Angeles Lakers|Golden State Warriors|Detroit Pistons,WAS|POR|MIL|DEN|LAC|LAL|GSW|DET,
1628469,Antonio Blakeney,Chicago Bulls,CHI,
76183,Lance Blanks,Detroit Pistons|Minnesota Timberwolves,DET|MIN,
101154,Andray Blatche,Washington Wizards|Brooklyn Nets,WAS|BKN,
302,Mookie Blaylock,Brooklyn Nets|Atlanta Hawks|Golden State Warriors,BKN|ATL|GSW,
202339,Eric Bledsoe,LA Clippers|Phoenix Suns|Milwaukee Bucks|New Orleans Pelicans,LAC|PHX|MIL|NOP,
1629833,Keljin Blevins,Portland Trail Blazers,POR,
76187,John Block,Los Angeles Lakers|Houston Rockets|Milwaukee Bucks|Philadelphia 76ers|Sacramento Kings|Chicago Bulls|Utah Jazz,LAL|HOU|MIL|PHI|SAC|CHI|UTA,
76188,Mike Bloom,Boston Celtics|Los Angeles Lakers,BOS|LAL,
916,Corie Blount,Chicago Bulls|Los Angeles Lakers|Cleveland Cavaliers|Phoenix Suns|Golden State Warriors|Philadelphia 76ers|Toronto Raptors,CHI|LAL|CLE|PHX|GSW|PHI|TOR,
1548,Mark Blount,Boston Celtics|Denver Nuggets|Minnesota Timberwolves|Miami Heat,BOS|DEN|MIN|MIA,
203505,Vander Blue,Boston Celtics|Los Angeles Lakers,BOS|LAL,
76190,Nelson Bobb,Golden State Warriors,GSW,
76191,Arlen Bockhorn,Sacramento Kings,SAC,
1631205,Buddy Boeheim,Detroit Pistons|Oklahoma City Thunder,DET|OKC,
76192,Tom Boerwinkle,Chicago Bulls,CHI,
2586,Keith Bogans,Orlando Magic|Charlotte Hornets|Houston Rockets|Milwaukee Bucks|San Antonio Spurs|Chicago Bulls|Brooklyn Nets|Boston Celtics,ORL|CHA|HOU|MIL|SAS|CHI|BKN|BOS,
202711,Bojan Bogdanovic,Brooklyn Nets|Washington Wizards|Indiana Pacers|Utah Jazz|Detroit Pistons|New York Knicks,BKN|WAS|IND|UTA|DET|NYK,
203992,Bogdan Bogdanovi?,Sacramento Kings|Atlanta Hawks|LA Clippers,SAC|ATL|LAC,
177,Muggsy Bogues,Washington Wizards|Charlotte Hornets|Golden State Warriors|Toronto Raptors,WAS|CHA|GSW|TOR,
101106,Andrew Bogut,Milwaukee Bucks|Golden State Warriors|Dallas Mavericks|Cleveland Cavaliers|Los Angeles Lakers,MIL|GSW|DAL|CLE|LAL,
1564,Etdrick Bohannon,Indiana Pacers|Washington Wizards|New York Knicks|LA Clippers|Cleveland Cavaliers,IND|WAS|NYK|LAC|CLE,
1629626,Bol Bol,Denver Nuggets|Orlando Magic|Phoenix Suns,DEN|ORL|PHX,
76195,Manute Bol,Washington Wizards|Golden State Warriors|Philadelphia 76ers|Miami Heat,WAS|GSW|PHI|MIA,
1628413,Jonah Bolden,Philadelphia 76ers|Phoenix Suns,PHI|PHX,
1629716,Marques Bolden,Cleveland Cavaliers|Milwaukee Bucks|Charlotte Hornets,CLE|MIL|CHA,
1630195,Leandro Bolmaro,Minnesota Timberwolves|Utah Jazz,MIN|UTA,
1627762,Joel Bolomboy,Utah Jazz|Milwaukee Bucks,UTA|MIL,
1641737,Adem Bona,Philadelphia 76ers,PHI,
1603,Walter Bond,Dallas Mavericks|Utah Jazz|Detroit Pistons,DAL|UTA|DET,
1629648,Jordan Bone,Detroit Pistons|Orlando Magic,DET|ORL,
1629067,Isaac Bonga,Los Angeles Lakers|Washington Wizards|Toronto Raptors,LAL|WAS|TOR,
76201,Ron Bonham,Boston Celtics,BOS,
41,Anthony Bonner,Sacramento Kings|New York Knicks|Orlando Magic,SAC|NYK|ORL,
2588,Matt Bonner,Toronto Raptors|San Antonio Spurs,TOR|SAS,
1626164,Devin Booker,Phoenix Suns,PHX,
511,Melvin Booker,Houston Rockets|Denver Nuggets|Golden State Warriors,HOU|DEN|GSW,
202344,Trevor Booker,Washington Wizards|Utah Jazz|Brooklyn Nets|Philadelphia 76ers|Indiana Pacers,WAS|UTA|BKN|PHI|IND,
200767,Josh Boone,Brooklyn Nets,BKN,
76204,Ron Boone,Sacramento Kings|Los Angeles Lakers|Utah Jazz,SAC|LAL|UTA,
1916,Calvin Booth,Washington Wizards|Dallas Mavericks|Oklahoma City Thunder|Milwaukee Bucks|Philadelphia 76ers|Minnesota Timberwolves|Sacramento Kings,WAS|DAL|OKC|MIL|PHI|MIN|SAC,
1522,Keith Booth,Chicago Bulls,CHI,
76206,Bob Boozer,Sacramento Kings|New York Knicks|Los Angeles Lakers|Chicago Bulls|Oklahoma City Thunder|Milwaukee Bucks,SAC|NYK|LAL|CHI|OKC|MIL,
2430,Carlos Boozer,Cleveland Cavaliers|Utah Jazz|Chicago Bulls|Los Angeles Lakers,CLE|UTA|CHI|LAL,
2414,Curtis Borchardt,Utah Jazz,UTA,
76207,Jake Bornheimer,Golden State Warriors,GSW,
76210,Vince Boryla,New York Knicks,NYK,
2547,Chris Bosh,Toronto Raptors|Miami Heat,TOR|MIA,
1630527,Brandon Boston,LA Clippers|New Orleans Pelicans,LAC|NOP,
76213,Tom Boswell,Boston Celtics|Denver Nuggets|Utah Jazz,BOS|DEN|UTA,
1628449,Chris Boucher,Golden State Warriors|Toronto Raptors|Boston Celtics,GSW|TOR|BOS,
1630547,James Bouknight,Charlotte Hornets,CHA,
2257,Ruben Boumtje-Boumtje,Portland Trail Blazers,POR,
